,Nome via,period,year,order,label,month,tot_day
237,VIA CALAMOSCO,1,2022,20221,2022,2022-03,2660.7377112135177
238,VIA CALAMOSCO,2,2022,20222,,2022-06,3011.4849462365587
239,VIA CALAMOSCO,3,2022,20223,,2022-09,1476.9557656655543
240,VIA CALAMOSCO,4,2022,20224,,2022-12,1414.9177419354837
241,VIA CAMILLO CASARINI,1,2022,20221,2022,2022-03,1010.3978494623656
242,VIA CAMILLO CASARINI,2,2022,20222,,2022-06,1047.1247311827958
243,VIA CAMILLO CASARINI,3,2022,20223,,2022-09,855.4139784946237
244,VIA CAMILLO CASARINI,4,2022,20224,,2022-12,975.1878136200717
245,VIA CAMILLO RANZANI,1,2022,20221,2022,2022-03,8353.68970814132
246,VIA CAMILLO RANZANI,2,2022,20222,,2022-06,8966.148745519713
247,VIA CAMILLO RANZANI,3,2022,20223,,2022-09,6716.776344086022
248,VIA CAMILLO RANZANI,4,2022,20224,,2022-12,8938.98853046595
249,VIA CAPO DI LUCCA,1,2022,20221,2022,2022-03,647.9420122887865
250,VIA CAPO DI LUCCA,2,2022,20222,,2022-06,706.8114695340502
251,VIA CAPO DI LUCCA,3,2022,20223,,2022-09,595.1724014336918
252,VIA CAPO DI LUCCA,4,2022,20224,,2022-12,322.1114695340502
253,VIA CARDINALE G. DE ALBORNOZ,1,2022,20221,2022,2022-03,3719.411290322581
254,VIA CARDINALE G. DE ALBORNOZ,2,2022,20222,,2022-06,3970.1956989247315
255,VIA CARDINALE G. DE ALBORNOZ,3,2022,20223,,2022-09,3429.310394265233
256,VIA CARDINALE G. DE ALBORNOZ,4,2022,20224,,2022-12,4092.804659498208
257,VIA CARLO ALBERTO PIZZARDI,1,2022,20221,2022,2022-03,1481.6017665130569
258,VIA CARLO ALBERTO PIZZARDI,2,2022,20222,,2022-06,1461.7498207885303
259,VIA CARLO ALBERTO PIZZARDI,3,2022,20223,,2022-09,747.9788155372177
260,VIA CARLO ALBERTO PIZZARDI,4,2022,20224,,2022-12,888.1471326164874
261,VIA CARLO SIGONIO,1,2022,20221,2022,2022-03,2750.2099334357395
262,VIA CARLO SIGONIO,2,2022,20222,,2022-06,2999.135722819594
263,VIA CARLO SIGONIO,3,2022,20223,,2022-09,2623.790083632019
264,VIA CARLO SIGONIO,4,2022,20224,,2022-12,3025.2080047789727
265,VIA CASTELDEBOLE,1,2022,20221,2022,2022-03,2422.976574500768
266,VIA CASTELDEBOLE,2,2022,20222,,2022-06,2798.600358422939
267,VIA CASTELDEBOLE,3,2022,20223,,2022-09,2462.9498207885304
268,VIA CASTELDEBOLE,4,2022,20224,,2022-12,2886.135842293907
269,VIA CASTIGLIONE,1,2022,20221,2022,2022-03,4343.050019201229
270,VIA CASTIGLIONE,2,2022,20222,,2022-06,4505.253405017921
271,VIA CASTIGLIONE,3,2022,20223,,2022-09,3988.956362007169
272,VIA CASTIGLIONE,4,2022,20224,,2022-12,4550.727777777778
273,VIA CESARE BATTISTI,1,2022,20221,2022,2022-03,1906.4988479262674
274,VIA CESARE BATTISTI,2,2022,20222,,2022-06,1882.710752688172
275,VIA CESARE BATTISTI,3,2022,20223,,2022-09,1395.420430107527
276,VIA CESARE BATTISTI,4,2022,20224,,2022-12,1505.351612903226
277,VIA CESARE BOLDRINI,1,2022,20221,2022,2022-03,1982.34024577573
278,VIA CESARE BOLDRINI,2,2022,20222,,2022-06,1951.8790322580644
279,VIA CESARE BOLDRINI,3,2022,20223,,2022-09,2082.60017921147
280,VIA CESARE BOLDRINI,4,2022,20224,,2022-12,2399.4724014336916
281,VIA CESARE GNUDI,1,2022,20221,2022,2022-03,3340.929723502304
282,VIA CESARE GNUDI,2,2022,20222,,2022-06,3723.036917562724
283,VIA CESARE GNUDI,3,2022,20223,,2022-09,3116.0175627240146
284,VIA CESARE GNUDI,4,2022,20224,,2022-12,3440.831182795699
285,VIA CESARE PAVESE,1,2022,20221,2022,2022-03,651.3152841781874
286,VIA CESARE PAVESE,2,2022,20222,,2022-06,905.1960573476703
287,VIA CESARE PAVESE,3,2022,20223,,2022-09,329.1215053763441
288,VIA CESARE PAVESE,4,2022,20224,,2022-12,418.8967741935483
289,VIA CIMABUE,1,2022,20221,2022,2022-03,710.9673579109063
290,VIA CIMABUE,2,2022,20222,,2022-06,767.6641577060932
291,VIA CIMABUE,3,2022,20223,,2022-09,627.2193548387096
292,VIA CIMABUE,4,2022,20224,,2022-12,833.441935483871
293,VIA CLETO TOMBA,1,2022,20221,2022,2022-03,821.5967741935484
294,VIA CLETO TOMBA,2,2022,20222,,2022-06,893.3749103942652
295,VIA CLETO TOMBA,3,2022,20223,,2022-09,717.0906810035843
296,VIA CLETO TOMBA,4,2022,20224,,2022-12,798.1605734767026
297,VIA COLOMBAROLA,1,2022,20221,2022,2022-03,1398.7434715821812
298,VIA COLOMBAROLA,2,2022,20222,,2022-06,1581.826164874552
299,VIA COLOMBAROLA,3,2022,20223,,2022-09,1312.232616487455
300,VIA COLOMBAROLA,4,2022,20224,,2022-12,1525.905376344086
301,VIA CRACOVIA,1,2022,20221,2022,2022-03,796.3609831029186
302,VIA CRACOVIA,2,2022,20222,,2022-06,1450.952688172043
303,VIA CRACOVIA,3,2022,20223,,2022-09,1289.5903225806453
304,VIA CRACOVIA,4,2022,20224,,2022-12,1272.0996415770608
305,VIA CRISTOFORO COLOMBO,2,2022,20222,,2022-06,4863.833333333334
306,VIA CRISTOFORO COLOMBO,3,2022,20223,,2022-09,8706.446774193548
307,VIA CRISTOFORO COLOMBO,4,2022,20224,,2022-12,16258.160931899642
308,VIA CROCE DI CAMALDOLI,1,2022,20221,2022,2022-03,944.6870199692781
309,VIA CROCE DI CAMALDOLI,2,2022,20222,,2022-06,901.1200716845879
310,VIA CROCE DI CAMALDOLI,3,2022,20223,,2022-09,978.5333333333334
311,VIA CROCE DI CAMALDOLI,4,2022,20224,,2022-12,777.8702508960573
312,VIA D'AZEGLIO,1,2022,20221,2022,2022-03,2561.0447388632874
313,VIA D'AZEGLIO,2,2022,20222,,2022-06,2575.7967741935486
314,VIA D'AZEGLIO,3,2022,20223,,2022-09,2061.0535842293907
315,VIA D'AZEGLIO,4,2022,20224,,2022-12,2336.176164874552
316,VIA DANTE,1,2022,20221,2022,2022-03,2989.6326804915516
317,VIA DANTE,2,2022,20222,,2022-06,3180.482974910394
318,VIA DANTE,3,2022,20223,,2022-09,2666.1535842293906
319,VIA DANTE,4,2022,20224,,2022-12,16210.179211469533
320,VIA DE' CARRACCI,1,2022,20221,2022,2022-03,5542.550526662279
321,VIA DE' CARRACCI,2,2022,20222,,2022-06,6192.1474142345105
322,VIA DE' CARRACCI,3,2022,20223,,2022-09,7137.7251408090115
323,VIA DE' CARRACCI,4,2022,20224,,2022-12,5697.59846390169
324,VIA DEGLI ORTI,1,2022,20221,2022,2022-03,9043.925279789335
325,VIA DEGLI ORTI,2,2022,20222,,2022-06,9285.192165898618
326,VIA DEGLI ORTI,3,2022,20223,,2022-09,7749.189759344598
327,VIA DEGLI ORTI,4,2022,20224,,2022-12,8914.225601638505
328,VIA DEGLI ORTOLANI,1,2022,20221,2022,2022-03,11564.473022273427
329,VIA DEGLI ORTOLANI,2,2022,20222,,2022-06,11648.283602150537
330,VIA DEGLI ORTOLANI,3,2022,20223,,2022-09,6530.4893369175625
331,VIA DEGLI ORTOLANI,4,2022,20224,,2022-12,10062.60940860215
332,VIA DEGLI STRADELLI GUELFI,3,2022,20223,,2022-09,0.0
333,VIA DEGLI STRADELLI GUELFI,4,2022,20224,,2022-12,1821.6777777777777
334,VIA DEI LAMPONI,1,2022,20221,2022,2022-03,1513.0109447004609
335,VIA DEI LAMPONI,2,2022,20222,,2022-06,1501.4433691756274
336,VIA DEI LAMPONI,3,2022,20223,,2022-09,1348.0136200716845
337,VIA DEI LAMPONI,4,2022,20224,,2022-12,1314.0921146953406
338,VIA DEI MILLE,1,2022,20221,2022,2022-03,4404.157834101382
339,VIA DEI MILLE,2,2022,20222,,2022-06,4738.6729390681
340,VIA DEI MILLE,3,2022,20223,,2022-09,4295.133870967742
