idx,stname,period,year,order,label,month,tot_day
3813,via g.battista de rolandis,2,2019,20192,,2019-09,479.0116487455197
3814,via galeazza,1,2019,20191,2019,2019-06,1916.3461085509473
3822,via galeazza,2,2019,20192,,2019-09,1731.1965949820788
3830,via galliera,1,2019,20191,2019,2019-06,2013.4425563236045
3836,via galliera,2,2019,20192,,2019-09,1946.6776881720432
3842,via garibaldi,1,2019,20191,2019,2019-06,2372.6857782898105
3843,via garibaldi,2,2019,20192,,2019-09,2296.0847670250896
3844,via gaspare tagliacozzi,1,2019,20191,2019,2019-06,4522.211194316436
3854,via gaspare tagliacozzi,2,2019,20192,,2019-09,4252.189695340502
3864,via genova,1,2019,20191,2019,2019-06,2585.6779953917053
3875,via genova,2,2019,20192,,2019-09,2532.0715949820788
3886,via genuzio bentini,1,2019,20191,2019,2019-06,4516.168371309097
3905,via genuzio bentini,2,2019,20192,,2019-09,5254.207586618877
3924,via gherardo forni,1,2019,20191,2019,2019-06,3263.162032770097
3930,via gherardo forni,2,2019,20192,,2019-09,2865.280286738351
3936,via giacomo matteotti,1,2019,20191,2019,2019-06,7457.099516129033
3946,via giacomo matteotti,2,2019,20192,,2019-09,4488.882078853047
3956,via gian giacomo carissimi,1,2019,20191,2019,2019-06,662.6559779825909
3966,via gian giacomo carissimi,2,2019,20192,,2019-09,600.9494623655914
3976,via giovan battista gandino,1,2019,20191,2019,2019-06,2937.714861751152
3988,via giovan battista gandino,2,2019,20192,,2019-09,2551.7974910394264
4000,via giovanna zaccherini alvisi,1,2019,20191,2019,2019-06,3547.267415514593
4004,via giovanna zaccherini alvisi,2,2019,20192,,2019-09,3187.58646953405
4008,via giovanni amendola,1,2019,20191,2019,2019-06,4031.3861879160268
4015,via giovanni amendola,2,2019,20192,,2019-09,3971.7871863799282
4022,via giovanni casoni,1,2019,20191,2019,2019-06,2914.4363671274964
4026,via giovanni casoni,2,2019,20192,,2019-09,2709.005376344086
4030,via giovanni marchetti,1,2019,20191,2019,2019-06,1645.479761904762
4038,via giovanni marchetti,2,2019,20192,,2019-09,1546.2564516129032
4046,via giuseppe bentivogli,1,2019,20191,2019,2019-06,3861.590557262332
4056,via giuseppe bentivogli,2,2019,20192,,2019-09,3489.105495818399
4066,via giuseppe dagnini,1,2019,20191,2019,2019-06,5027.760748421232
4091,via giuseppe dagnini,2,2019,20192,,2019-09,4606.3617084826765
4116,via giuseppe dozza,1,2019,20191,2019,2019-06,9644.51129032258
4139,via giuseppe dozza,2,2019,20192,,2019-09,9150.58999674161
4162,via giuseppe massarenti,1,2019,20191,2019,2019-06,9654.463717144565
4233,via giuseppe massarenti,2,2019,20192,,2019-09,8050.524725561595
4304,via giuseppe mazza,1,2019,20191,2019,2019-06,8548.412032770097
4305,via giuseppe mazza,2,2019,20192,,2019-09,8033.859498207886
4306,via giuseppe mezzofanti,1,2019,20191,2019,2019-06,7100.523060675882
4319,via giuseppe mezzofanti,2,2019,20192,,2019-09,6157.009318996416
4332,via giuseppe petroni,1,2019,20191,2019,2019-06,1859.7544034818227
4333,via giuseppe petroni,2,2019,20192,,2019-09,2948.775268817204
4334,via giuseppe ruggi,1,2019,20191,2019,2019-06,551.0931259600615
4342,via giuseppe ruggi,2,2019,20192,,2019-09,2206.6408602150536
4350,via giuseppe saragat,1,2019,20191,2019,2019-06,6669.0023937532
4359,via giuseppe saragat,2,2019,20192,,2019-09,5958.282795698925
4368,via guerrazzi,1,2019,20191,2019,2019-06,2985.612365591398
4370,via guerrazzi,2,2019,20192,,2019-09,3897.2202508960577
4372,via guglielmo marconi,1,2019,20191,2019,2019-06,3001.7883691756274
4404,via guglielmo marconi,2,2019,20192,,2019-09,2638.4651612903226
4436,via innocenzo malvasia,1,2019,20191,2019,2019-06,6318.674709848096
4446,via innocenzo malvasia,2,2019,20192,,2019-09,7217.453882915174
4456,via irma bandiera,1,2019,20191,2019,2019-06,5401.98648233487
4467,via irma bandiera,2,2019,20192,,2019-09,5010.132078853047
4478,via irnerio,1,2019,20191,2019,2019-06,6393.797813193378
4505,via irnerio,2,2019,20192,,2019-09,5800.501826435781
4532,via isabella andreini,1,2019,20191,2019,2019-06,5898.191116231439
4555,via isabella andreini,2,2019,20192,,2019-09,5836.979271206691
4578,via jacopo della quercia (parcheggio salesiani),1,2019,20191,2019,2019-06,0.0
4579,via jacopo della quercia (parcheggio salesiani),2,2019,20192,,2019-09,0.005376344086021505
4580,via larga,1,2019,20191,2019,2019-06,7516.981765232976
4631,via larga,2,2019,20192,,2019-09,7234.34982078853
4682,via laura bassi veratti,1,2019,20191,2019,2019-06,3333.1958854509544
4702,via laura bassi veratti,2,2019,20192,,2019-09,3044.491423451101
4722,via leandro alberti,1,2019,20191,2019,2019-06,4307.835458269329
4739,via leandro alberti,2,2019,20192,,2019-09,3963.6110855094726
4756,via libia,1,2019,20191,2019,2019-06,7053.30599078341
4773,via libia,2,2019,20192,,2019-09,6494.482915173237
4790,via lippo di dalmasio,1,2019,20191,2019,2019-06,430.29581413210445
4792,via lippo di dalmasio,2,2019,20192,,2019-09,362.49032258064517
4794,via lombardia,1,2019,20191,2019,2019-06,948.546385902031
4812,via lombardia,2,2019,20192,,2019-09,1181.805017921147
4830,via luca signorelli,1,2019,20191,2019,2019-06,3711.1594982078855
4837,via luca signorelli,2,2019,20192,,2019-09,3397.7129032258067
4844,via luigi calori,1,2019,20191,2019,2019-06,5151.650921658987
4855,via luigi calori,2,2019,20192,,2019-09,3809.976344086021
4866,via luigi longo,1,2019,20191,2019,2019-06,2528.079663765148
4872,via luigi longo,2,2019,20192,,2019-09,2534.318817204301
4878,via luigi pirandello,1,2019,20191,2019,2019-06,3648.7697068612392
4894,via luigi pirandello,2,2019,20192,,2019-09,3762.931720430108
4910,via luigi tanari,1,2019,20191,2019,2019-06,7574.698438300052
4928,via luigi tanari,2,2019,20192,,2019-09,1295.0881720430107
4946,via luigi valeriani,1,2019,20191,2019,2019-06,728.4797491039426
4951,via luigi valeriani,2,2019,20192,,2019-09,1261.6887096774192
4956,via malpertuso,1,2019,20191,2019,2019-06,1636.811354326677
4959,via malpertuso,2,2019,20192,,2019-09,1289.1078853046595
4962,via marcantonio franceschini,1,2019,20191,2019,2019-06,6013.638504864311
4967,via marcantonio franceschini,2,2019,20192,,2019-09,6131.156630824374
4972,via marco emilio lepido,1,2019,20191,2019,2019-06,5500.101516897082
5051,via marco emilio lepido,2,2019,20192,,2019-09,5189.258915770609
5130,via marco polo,1,2019,20191,2019,2019-06,15160.590049496503
5156,via marco polo,2,2019,20192,,2019-09,14030.960752688172
5182,via marsili,1,2019,20191,2019,2019-06,4253.221249359959
5184,via marsili,2,2019,20192,,2019-09,3982.1818996415773
5186,via marzabotto,1,2019,20191,2019,2019-06,3646.965529953917
5211,via marzabotto,2,2019,20192,,2019-09,3241.2977419354843
5236,via mascarella,1,2019,20191,2019,2019-06,2515.2162442396316
5240,via mascarella,2,2019,20192,,2019-09,934.5096774193548
5244,via massenzio masia,1,2019,20191,2019,2019-06,2014.8738863287251
5245,via massenzio masia,2,2019,20192,,2019-09,1648.1983870967742
5246,via matteotti,1,2019,20191,2019,2019-06,0.0
5247,via matteotti,2,2019,20192,,2019-09,29.333333333333332
5248,via mazzini,1,2019,20191,2019,2019-06,6558.411258320532
5249,via mazzini,2,2019,20192,,2019-09,6690.4186738351245
5250,via michelino,1,2019,20191,2019,2019-06,6222.49024577573
5284,via michelino,2,2019,20192,,2019-09,5936.227598566308
5318,via milano,1,2019,20191,2019,2019-06,0.0
5326,via milano,2,2019,20192,,2019-09,60.41935483870967
5334,via mondo,1,2019,20191,2019,2019-06,5736.086264720942
5348,via mondo,2,2019,20192,,2019-09,5452.820967741935
5362,via montefiorino,1,2019,20191,2019,2019-06,9396.592044290834
5374,via montefiorino,2,2019,20192,,2019-09,8833.73629032258
5386,via niccolo' machiavelli,1,2019,20191,2019,2019-06,587.2360215053764
5387,via niccolo' machiavelli,2,2019,20192,,2019-09,1148.669713261649
